Super_Bowl,Date,Location,Theme,Performer(s),Producer,Setlist,Ref.,Sponsor,Special guest(s),Headliner(s),Director
XLVI,"February 5, 2012","Lucas Oil Stadium (Indianapolis, Indiana)",,,Ricky Kirshner,"""Vogue"" (Madonna) ""Music"" / ""Party Rock Anthem"" / ""Sexy and I Know It"" (Madonna with LMFAO) ""Give Me All Your Luvin'"" (Madonna with Nicki Minaj and M.I.A.) ""Open Your Heart"" / ""Express Yourself"" (Madonna with Cee Lo Green) ""Like a Prayer"" (Madonna with Cee Lo Green)",[33][34][35][36][37],Bridgestone,LMFAO Cirque du Soleil Nicki Minaj M.I.A. Cee Lo Green Andy Lewis Avon High School Drumline Center Grove High School Drumline Fishers High School Drumline Franklin Central High School Drumline Southern University Dancing Dolls 200-person choir consisting of Indianapolis locals,Madonna,Hamish Hamilton
XLVII,"February 3, 2013","Mercedes-Benz Superdome (New Orleans, Louisiana)",,,Ricky Kirshner,"""Run the World (Girls)"" (intro) / Vince Lombardi ""Excellence"" speech voiceover ""Love On Top"" (chorus a cappella) (Beyoncé) ""Crazy in Love"" (Beyoncé) ""End of Time"" (Beyoncé) ""Baby Boy"" (Beyoncé) ""Bootylicious"" (Destiny's Child) ""Independent Women Part I"" (Destiny's Child) ""Single Ladies (Put a Ring on It)"" (Beyoncé featuring Kelly Rowland and Michelle Williams) ""Halo"" (Beyoncé)",[38],Pepsi,Destiny's Child,Beyoncé,Hamish Hamilton
XLVIII,"February 2, 2014","MetLife Stadium (East Rutherford, New Jersey)",,,Ricky Kirshner,"""Billionaire"" (intro) (children's choir) ""Locked Out of Heaven"" (Bruno Mars) ""Treasure"" (Bruno Mars) ""Runaway Baby"" (Bruno Mars) ""Give It Away"" (Red Hot Chili Peppers with Bruno Mars) ""Just the Way You Are"" (Bruno Mars)",[39],Pepsi,Red Hot Chili Peppers,Bruno Mars,Hamish Hamilton
XLIX,"February 1, 2015","University of Phoenix Stadium (Glendale, Arizona)",,,Ricky Kirshner,"""Roar"" (Katy Perry) ""Dark Horse"" (Katy Perry) ""I Kissed a Girl"" (Lenny Kravitz and Katy Perry) ""Teenage Dream"" (Katy Perry) ""California Gurls"" (Katy Perry) ""Get Ur Freak On"" (Missy Elliott and Katy Perry) ""Work It"" (Missy Elliott and Katy Perry) ""Lose Control"" (Missy Elliott) ""Firework"" (Katy Perry)",[40][41][42],Pepsi,Lenny Kravitz Missy Elliott Arizona State University Sun Devil Marching Band,Katy Perry,Hamish Hamilton
50,"February 7, 2016","Levi's Stadium (Santa Clara, California)",,,Ricky Kirshner,"""Yellow"" (intro a cappella) (Coldplay) ""Viva la Vida"" (Coldplay) ""Paradise"" (Coldplay) ""Adventure of a Lifetime"" (Coldplay) ""Uptown Funk"" / ""Formation"" (Mark Ronson, Bruno Mars, and Beyoncé) (contains elements of ""U Can't Touch This"" and ""Crazy in Love"") ""Clocks"" (instrumental) (Coldplay) ""Fix You""/""Up&Up"" (Coldplay, Beyoncé and Bruno Mars) (contains elements of ""Midnight"", ""Independent Women Part I"", ""Just the Way You Are"", ""Purple Rain"", and ""Beautiful Day"")",[43][44][45][46][47][48],Pepsi,Beyoncé Bruno Mars Mark Ronson Gustavo Dudamel University of California Marching Band Youth Orchestra Los Angeles,Coldplay,Hamish Hamilton
LI,"February 5, 2017","NRG Stadium (Houston, Texas)",,,Ricky Kirshner,"""God Bless America""/""This Land Is Your Land"" ""Dance in the Dark"" (Instrumental Intro) (contains elements of ""Just Dance"", ""LoveGame"" and ""Paparazzi"") ""The Edge of Glory"" (snippet) ""Poker Face"" ""Born This Way"" ""Telephone"" ""Just Dance"" ""Million Reasons"" ""Bad Romance""",[49][50],Pepsi Zero Sugar,—,Lady Gaga,Hamish Hamilton
LII,"February 4, 2018","U.S. Bank Stadium (Minneapolis, Minnesota)",,,Ricky Kirshner,"""Filthy"" ""Rock Your Body"" ""Señorita"" ""SexyBack"" ""My Love"" ""Cry Me a River"" ""Suit & Tie"" (Featuring the University of Minnesota Marching Band) ""Until the End of Time"" ""I Would Die 4 U"" (Pre-recorded video of Prince [displayed on a projection screen] with Justin Timberlake) ""Mirrors"" ""Can't Stop the Feeling!""",[51][52][53][54][55],Pepsi,The Tennessee Kids University of Minnesota Marching Band,Justin Timberlake,Hamish Hamilton
LIII,"February 3, 2019","Mercedes-Benz Stadium (Atlanta, Georgia)",,,Ricky Kirshner,"""Harder to Breathe"" (Maroon 5) ""This Love"" (Maroon 5) ""Sicko Mode"" (Travis Scott) (intro referencing ""Sweet Victory"") ""Girls Like You"" (Maroon 5) ""She Will Be Loved"" (Maroon 5) ""Kryptonite (I'm on It)"" (Big Boi) ""The Way You Move"" (Big Boi) ""Sugar"" (Maroon 5) ""Moves Like Jagger"" (Maroon 5)",,Pepsi,Travis Scott Big Boi Georgia State University Marching Band,Maroon 5,Hamish Hamilton
LIV,"February 2, 2020","Hard Rock Stadium (Miami Gardens, Florida)",,,Ricky Kirshner VAMC Studios Jay-Z Roc Nation,"""Dare (La La La)"" (Shakira) ""She Wolf"" (Shakira) ""Empire"" (Shakira) ""Kashmir"" (orchestral intro) ""Ojos Así"" (Shakira) ""Whenever, Wherever"" (Shakira) ""I Like It"" (Shakira and Bad Bunny) ""Chantaje"" / ""Callaíta"" (Shakira and Bad Bunny) ""Hips Don't Lie"" (Shakira) ""Jenny from the Block"" (Jennifer Lopez) ""Ain't It Funny (Murder Remix)"" (Jennifer Lopez) ""Get Right"" (Jennifer Lopez) ""Waiting for Tonight"" (Jennifer Lopez) ""Booty"" / ""Que Calor"" / ""El Anillo"" / ""Love Don't Cost a Thing"" / ""Mi Gente"" (Jennifer Lopez and J Balvin) ""On the Floor"" (Jennifer Lopez) ""Let's Get Loud"" / ""Born in the U.S.A."" (Shakira, Jennifer Lopez, and Emme Muñiz) ""Waka Waka (This Time for Africa)"" (Shakira and Jennifer Lopez) (contains elements of ""Icha"")",[56][57][58],Pepsi,Bad Bunny J Balvin Emme Muñiz,Shakira Jennifer Lopez,Hamish Hamilton
LV,"February 7, 2021","Raymond James Stadium (Tampa, Florida)",,,Jesse Collins Jay-Z Roc Nation Diversified Production Services,"""Call Out My Name"" ""Starboy"" ""The Hills"" ""Can't Feel My Face"" (contains elements of After Hours) ""I Feel It Coming"" ""Save Your Tears"" ""Earned It"" ""House Of Balloons"" ""Blinding Lights""",[59],Pepsi,—,The Weeknd,Hamish Hamilton
LVI,"February 13, 2022","SoFi Stadium (Inglewood, California)",,,Jesse Collins Jay-Z Roc Nation Diversified Production Services,"""The Next Episode"" (Dr. Dre and Snoop Dogg) ""California Love"" (Dr. Dre and Snoop Dogg) ""In da Club"" (50 Cent) ""Family Affair"" (Mary J. Blige) ""No More Drama"" (Mary J. Blige) ""M.A.A.D City"" (Kendrick Lamar) ""Alright"" (Kendrick Lamar) ""Forgot About Dre"" (Eminem and Freestyle Interlude by Kendrick Lamar) ""Lose Yourself"" (Eminem with Anderson .Paak on drums) ""I Ain't Mad at Cha"" (instrumental) (Dr. Dre) ""Still D.R.E."" (Dr. Dre, Snoop Dogg, Eminem, Mary J. Blige, Kendrick Lamar, and 50 Cent)",[60],Pepsi,Anderson .Paak,Dr. Dre Snoop Dogg Eminem Mary J. Blige Kendrick Lamar 50 Cent,Hamish Hamilton
LVII,"February 12, 2023","State Farm Stadium (Glendale, Arizona)",,,Jesse Collins Jay-Z Roc Nation Diversified Production Services,"""What's My Name?"" (intro) ""Bitch Better Have My Money"" (contains elements of ""Phresh Out the Runway"") ""Where Have You Been"" / ""Only Girl (In the World)"" (contains elements of ""Cockiness (Love It)"") ""We Found Love"" (contains elements of ""S&M"") ""Rude Boy (Klean Remix)"" (contains elements of ""Kiss It Better"") ""Work"" ""Wild Thoughts"" ""Birthday Cake"" (interlude) ""Pour It Up"" (contains elements of ""Numb"") ""Pose"" (interlude) ""All of the Lights"" ""Run This Town"" ""Umbrella"" ""Diamonds""",[61][62],Apple Music,—,Rihanna,Hamish Hamilton
LVIII,"February 11, 2024","Allegiant Stadium (Paradise, Nevada)",,,Jesse Collins Jay-Z Roc Nation Diversified Production Services,"""My Way"" (intro) ""Caught Up"" (Usher) (contains elements of ""U Don't Have to Call"" and ""Superstar"") ""Love in This Club"" (Usher) ""If I Ain't Got You"" (Usher and Alicia Keys) ""My Boo"" (Usher and Alicia Keys) ""Confessions Part II"" (introduced by Jermaine Dupri) ""Burn"" (Usher) (contains elements of ""Nice & Slow"") ""U Got It Bad"" (Usher with H.E.R. on guitar) (contains elements of ""Bad Girl"") ""OMG"" (Usher and will.i.am) ""Turn Down for What"" (Usher and Lil Jon) ""Yeah!"" (Usher, Lil Jon, and Ludacris) (contains elements of ""Freek-a-Leek"" & ""Get Low"")",[63][64][65],Apple Music,Alicia Keys Jermaine Dupri H.E.R. will.i.am Lil Jon Ludacris Sonic Boom of the South,Usher,Hamish Hamilton
LIX,"February 9, 2025","Caesars Superdome (New Orleans, Louisiana)",,,Jesse Collins Jay-Z Roc Nation Diversified Production Services,"""Wacced Out Murals"" (intro) ""Bodies"" (Kendrick Lamar) ""Squabble Up"" (Kendrick Lamar) ""Humble"" (Kendrick Lamar) ""DNA"" (Kendrick Lamar) ""Euphoria"" (Kendrick Lamar) ""Man at the Garden"" (Kendrick Lamar) ""Peekaboo"" (Kendrick Lamar) ""Luther"" (Kendrick Lamar and SZA) ""All the Stars"" (Kendrick Lamar and SZA) ""Not Like Us"" (Kendrick Lamar) ""TV Off"" (Kendrick Lamar)",[66][67],Apple Music,Samuel L. Jackson SZA Serena Williams Mustard,Kendrick Lamar,Hamish Hamilton
